personLabel	aliasLabel
Cicero	M. Tullii Ciceronis	True
Cicero	M. Tullius Cicero	True
Elagabalus	Emperor of Rome Elagabalus	True
Elagabalus	Emperor of Rome Heliogabalus	True
Elagabalus	imperatore romano Elagabalus	True
Elagabalus	Marcus Aurelius Antoninus Heliogabalus	True
Elagabalus	Sextus Varius Avitus Bassianus	True
Elagabalus	Varius Avitus	True
Elagabalus	Varius Avitus Bassianus	True
Mustafa Kemal Atatürk	Kemal Atatürk	True
Caracalla	Marcus Aurelius Antoninus	True
Mustafa Kemal Atatürk	Gazi Mustafa Kemal	True
Mustafa Kemal Atatürk	Kemal Pasha	True
Septimius Severus	Severus	True
Pertinax	Helvius Pertinax	True
Pertinax	Publius Helvius Pertinax	True
Lamine Diack	Lamin Diack	True
Sigfrid Edström	Sigfried Edstrom	True
Benigno Aquino III	Benigno Simeon Aquino III	True
Benigno Aquino III	Benigno Simeon Cojuangco Aquino III	True
Benigno Aquino III	Noynoy Aquino	True
Benigno Aquino III	PNoy	True
Ferdinand Marcos	Apo Lakay	True
Ferdinand Marcos	Ferdinand E. E. Marcos	True
Ferdinand Marcos	Ferdinand Edralin Marcos	True
Manuel L. Quezon	M. L. Q.	True
Manuel L. Quezon	Manuel Luis Quezon	True
Manuel L. Quezon	Manuel Luis Quezon y Molina	True
Manuel L. Quezon	Manuel Quezon	True
Septimius Severus	Lucius Septimius Severus	True
Mustafa Kemal Atatürk	Mustafa Kamal Ataturk	True
Mustafa Kemal Atatürk	Mustafa Kamal Attaturk	True
Mustafa Kemal Atatürk	Mustafa Kemal Ataturk	True
Mustafa Kemal Atatürk	Mustafa Kemal Pascha	True
Mustafa Kemal Atatürk	Mustafa Kemal Pasha	True
Mustafa Kemal Atatürk	Mustafa Pascha Kemal	True
Mustafa Kemal Atatürk	Mustapha Kemal Ataturk	True
Mustafa Kemal Atatürk	Mustapha Kemal Pasha	True
Caracalla	Divus Antoninus Magnus	True
Caracalla	Lucius Septimius Bassianus	True
Caracalla	Tarautas	True
Cicero	Tully	True
Didius Julianus	Julian I	True
Elagabalus	Heliogabalus	True
Elagabalus	Tiberinus	True
Benigno Aquino III	Benigno S. Aquino III	True
Septimius Severus	Emperor of Rome Septimius Severus	True
Septimius Severus	Emperor of Rome Septimus Severus	True
Septimius Severus	Emperor Septimius Severus	True
Septimius Severus	L. Septimius Severus	True
Septimius Severus	Lucius Septimius Severus Emperor of Rome	True
Septimius Severus	Lucius Septimius Severus Pertinax	True
Septimius Severus	Lucius Septimius Severus Pius Pertinax Augustus Arabicus Adiabenicus	True
Septimius Severus	Lucius Septimius, Emperor of Rome Severus	True
Septimius Severus	Septimius, Emperor of Rome Severus	True
Maximinus Thrax	C. Iulius Verus Maximinus	True
Maximinus Thrax	C. Julius Verus Maximinus	True
Maximinus Thrax	Gaius Iulius Verus Maximinus	True
Maximinus Thrax	Gaius Julius Verus Maximinus	True
Maximinus Thrax	Maximinus I	True
Cicero	Marcus Tullius Cicero	True
Mustafa Kemal Atatürk	Mustafa Kemal Paşa	True
Gordian II	Priapus	True
Mustafa Kemal Atatürk	Atatürk	True
Elagabalus	Emperor of Rome Marcus Aurelius Antoninus	True
Elagabalus	Marcus Aurelius Antoninus Augustus	True
Gordian II	Priamus	True
Didius Julianus	Julianus I	True
Didius Julianus	Marcus Didius Iulianus	True
Didius Julianus	Marcus Didius Severus Julianus	True
Ferdinand Marcos	FM	True
Corazon Aquino	"Corazon ""Cory"" Aquino"	True
Corazon Aquino	Maria Corazon Sumulong Cojuangco	True
Corazon Aquino	Maria Corazon Sumulong Cojuangco Aquino	True
David Cecil, 6th Marquess of Exeter	David Burghley	True
David Cecil, 6th Marquess of Exeter	David Cecil, Lord Burghley	True
David Cecil, 6th Marquess of Exeter	David Exeter	True
David Cecil, 6th Marquess of Exeter	David George Brownlow Cecil, 6th Marquess of Exeter	True
David Cecil, 6th Marquess of Exeter	David George Brownlow Cecil, Lord Burghley	True
David Cecil, 6th Marquess of Exeter	Lord Exeter	True
Gordian II	Emperor of Rome Gordian II	True
Gordian II	Emperor of Rome Marcus Antonius Gordianus Sempronianus Romanus Africanus	True
Gordian II	Gordianus II	True
Gordian II	Marcus Antonius Gordianus Sempronianus	True
Gordian II	Marcus Antonius II Gordianus Sempronianus	True
Mustafa Kemal Atatürk	Mustafa Kemal	True
Jean Jaurès	Jean Jaures	True
Robert Cecil	Edgar Algernon Robert Cecil	True
Robert Cecil	Edgar Algernon Robert Gascoyne Viscount Cecil of Chelwood	True
Robert Cecil	Edgar Algernon Robert Gascoyne-Cecil	True
Robert Cecil	Lord Robert Cecil	True
Robert Cecil	Robert Cecil, 1st Viscount Cecil of Chelwood	True
John Major	Rt. Hon. Sir John Major	True
John Major	Sir John Major	True
Pietro Mennea	Pietro Paolo Mennea	True
Nitobe Inazō	Inazo Nitobe	True
Nitobe Inazō	Inazo Nitobé	True
Nitobe Inazō	Inazō Nitobe	True
Nitobe Inazō	Nitobe Inazo	True
Nitobe Inazō	Nitobe Inazou	True
Maxim Gorky	Aleksey Maksimovich Peshkov	True
Maxim Gorky	Aleksey Peshkov	True
Maxim Gorky	Alexei Maximovich Peshkov	True
Maxim Gorky	Maksim Gor'ky	True
Maxim Gorky	Maxim Gorki	True
Paul Doumer	Joseph Athanase Doumer	True
Paul Doumer	Joseph Athanase Gaston Paul Doumer	True
Stefaan De Clerck	Stefaan Maria Joris Yolanda De Clerck	True
Trevor Sargent	Trevor Anthony Sargent	True
Mustafa Kemal Atatürk	Ali Rıza oğlu Mustafa	True
Mustafa Kemal Atatürk	Ataturk	True
Mustafa Kemal Atatürk	Attaturk	True
Mustafa Kemal Atatürk	Gazi Mustafa Kemal Atatürk	True
Mustafa Kemal Atatürk	Gazi Mustafa Kemal Pasha	True
Mustafa Kemal Atatürk	Ghazi Moustapha Kemal Pasha	True
Mustafa Kemal Atatürk	Ghazi Mustapha Kemal	True
Mustafa Kemal Atatürk	Ghazi Mustapha Kemal Ataturk	True
